,name,position,targets,receptions,catch percentage,yards,touchdowns
251,Ty Montgomer,wr,26,16,61.5%,95,0
252,James Proch,wr,20,16,80.0%,202,0
253,Damien William,rb,23,16,69.6%,103,1
254,Maxx William,te,17,16,94.1%,193,1
255,Quintez Cephu,wr,22,15,68.2%,204,2
256,Chris Evan,rb,17,15,88.2%,151,2
257,Kendall Hinto,wr,23,15,65.2%,175,1
258,Mohamed San,wr,24,15,62.5%,177,0
259,Cam Sim,wr,23,15,65.2%,211,2
260,JuJu Smith-Schuste,wr,28,15,53.6%,129,0
261,Jimmy Graha,te,23,14,60.9%,167,3
262,Khalil Herber,rb,16,14,87.5%,96,0
263,Mack Hollin,wr,28,14,50.0%,223,4
264,O.J. Howar,TE,21,14,66.7%,135,1
265,MyCole Pruit,te,18,14,77.8%,145,3
266,Rhamondre Stevenso,rb,18,14,77.8%,123,0
267,Ashton Duli,wr,22,13,59.1%,173,2
268,KhaDarel Hodg,wr,27,13,48.1%,157,0
269,Lil'Jordan Humphre,wr,18,13,72.2%,249,2
270,Juwan Johnso,wr,22,13,59.1%,159,4
271,Jerick McKinno,rb,20,13,65.0%,107,1
272,Dare Ogunbowal,rb,21,13,61.9%,114,1
273,Boston Scot,rb,16,13,81.3%,83,0
274,Salvon Ahme,rb,19,12,63.2%,117,0
275,Dyami Brow,WR,25,12,48.0%,165,0
276,Eric Ebro,te,18,12,66.7%,84,1
277,,,,,,,
278,Isaiah For,wr,17,12,70.6%,161,2
279,N'Keal Harr,wr,22,12,54.5%,184,0
280,Carlos Hyd,rb,21,12,57.1%,65,0
281,Jalen Richar,rb,14,12,85.7%,72,0
282,Adam Shahee,te,16,12,75.0%,110,0
283,Malik Turne,wr,16,12,75.0%,149,3
284,James Whit,rb,14,12,85.7%,94,0
285,Brock Wrigh,te,17,12,70.6%,117,2
286,Tevin Colema,rb,16,11,68.8%,49,0
287,Kylen Granso,te,15,11,73.3%,106,0
288,Jakeem Grant,,17,11,64.7%,132,2
289,Blake Jarwi,TE,17,11,64.7%,96,2
290,Collin Johnso,wr,21,11,52.4%,105,0
291,Breshad Perrima,wr,18,11,61.1%,167,1
292,John Ros,wr,20,11,55.0%,224,1
293,Drew Sampl,TE,15,11,73.3%,81,0
294,Ben Skowrone,wr,20,11,55.0%,133,0
295,Peyton Barbe,rb,13,10,76.9%,67,0
296,Trinity Benso,wr,22,10,45.5%,103,0
297,Parris Campbel,wr,20,10,50.0%,162,1
298,D'Wayne Eskridg,wr,20,10,50.0%,64,1
299,Royce Freema,,16,10,62.5%,77,0
300,Cyril Grayso,wr,12,10,83.3%,212,2
301,Alec Ingol,fb,12,10,83.3%,85,1
302,Ronald Jones I,rb,13,10,76.9%,64,0
303,Latavius Murra,rb,13,10,76.9%,75,0
304,Jaret Patterso,rb,11,10,90.9%,73,0
305,Dante Petti,wr,16,10,62.5%,87,1
306,Anthony Schwart,wr,23,10,43.5%,135,1
307,Dede Westbroo,wr,15,10,66.7%,68,0
308,,,,,,,
309,Blake Bel,te,13,9,69.2%,87,0
310,Alex Collin,rb,10,9,90.0%,87,0
311,D'Onta Forema,rb,11,9,81.8%,123,0
312,Jacob Holliste,te,14,9,64.3%,55,1
313,Marcus Johnso,wr,19,9,47.4%,160,0
314,Dax Miln,wr,14,9,64.3%,83,0
315,Josh Olive,te,15,9,60.0%,66,0
316,Elijhaa Penn,rb,13,9,69.2%,30,1
317,Trent Sherfiel,wr,20,9,45.0%,87,1
318,Keith Smit,FB,10,9,90.0%,56,0
319,Lee Smit,te,11,9,81.8%,65,1
320,Equanimeous St. Brow,wr,17,9,52.9%,98,0
321,Tommy Sweene,te,12,9,75.0%,44,1
322,Nick Vannet,te,15,9,60.0%,133,1
323,Ty'Son William,rb,12,9,75.0%,84,0
324,Derrick Gor,rb,9,8,88.9%,105,0
325,Denzel Mim,wr,23,8,34.8%,133,0
326,Patrick Ricard,FB,13,8,61.5%,63,1
327,Eric Sauber,te,12,8,66.7%,47,1
328,Jeff Smit,wr,17,8,47.1%,113,0
329,Juwann Winfre,wr,13,8,61.5%,58,0
330,Matt Breid,rb,9,7,77.8%,72,2
331,DJ Char,wr,22,7,31.8%,154,2
332,Phillip Dorset,,14,7,50.0%,110,0
333,Luke Farrel,te,11,7,63.6%,56,0
334,Noah Gra,te,10,7,70.0%,36,1
335,Penny Har,wr,12,7,58.3%,59,0
336,Godwin Igwebuik,db,10,7,70.0%,60,0
337,Jesse Jame,TE,8,7,87.5%,62,1
338,Craig Reynold,rb,8,7,87.5%,52,0
339,,,,,,,
340,Greg War,wr,11,7,63.6%,95,3
341,Jeff Wilso,rb,8,7,87.5%,31,0
342,Eno Benjami,rb,7,6,85.7%,42,0
343,Chris Carso,rb,6,6,100.0%,29,0
344,Corey Clemen,rb,7,6,85.7%,29,1
345,Jaelon Darde,wr,12,6,50.0%,43,0
346,Tom Kenned,wr,10,6,60.0%,54,0
347,Chris Manhert,TE,9,6,66.7%,71,1
348,Tre' McKitt,te,8,6,75.0%,45,0
349,Anthony Mille,,12,6,50.0%,25,1
350,Rashaad Penn,RB,8,6,75.0%,48,0
351,Curtis Samue,wr,9,6,66.7%,27,0
352,Shi Smit,wr,11,6,54.5%,104,0
353,Kenny Still,wr,23,6,26.1%,68,1
354,Preston William,wr,16,6,37.5%,71,0
355,Antony Auclai,TE,5,5,100.0%,47,1
356,Le'Veon Bel,,7,5,71.4%,30,1
357,Dez Fitzpatric,wr,8,5,62.5%,49,1
358,Jody Fortso,wr,5,5,100.0%,47,2
359,Josh Gordo,wr,14,5,35.7%,32,1
360,KJ Hamle,wr,10,5,50.0%,74,0
361,Parker Hess,de,6,5,83.3%,43,0
362,Tony Jone,rb,8,5,62.5%,29,0
363,Joshua Kelle,rb,6,5,83.3%,38,0
364,Scott Mille,wr,9,5,55.6%,38,0
365,Colby Parkinso,te,8,5,62.5%,33,0
366,Rodney Smit,rb,5,5,100.0%,48,0
367,Ihmir Smith-Marsett,wr,6,5,83.3%,116,2
368,Mike Thoma,wr,11,5,45.5%,52,0
369,Cody Whit,wr,6,5,83.3%,33,0
370,,,,,,,
371,Charlie Woerne,te,6,5,83.3%,52,0
372,Christian Blak,wr,9,4,44.4%,25,0
373,Kendall Blanto,te,7,4,57.1%,37,0
374,C.J. Boar,wr,6,4,66.7%,51,0
375,Ja'Marcus Bradle,wr,4,4,100.0%,64,0
376,Jason Cabind,lb,7,4,57.1%,16,1
377,Pharoh Coope,wr,11,4,36.4%,33,0
378,Tyler Davi,te,5,4,80.0%,35,0
379,Ross Dwelle,te,5,4,80.0%,51,1
380,Darren Fell,,5,4,80.0%,43,0
381,Will Fulle,wr,8,4,50.0%,26,0
382,Garrett Griffi,TE,4,4,100.0%,39,0
383,Chris Herndo,fb,7,4,57.1%,40,1
384,Taysom Hil,qb,6,4,66.7%,52,0
385,Chris Hoga,wr,8,4,50.0%,41,1
386,Cody Holliste,wr,7,4,57.1%,33,0
