310,Alex Collin,RB,10,9,0.90,87,0
311,D'Onta Forema,RB,11,9,0.82,123,0
312,Jacob Holliste,TE,14,9,0.64,55,1
313,Marcus Johnso,WR,19,9,0.47,160,0
314,Dax Miln,WR,14,9,0.64,83,0
315,Josh Olive,TE,15,9,0.60,66,0
316,Elijhaa Penn,RB,13,9,0.69,30,1
317,Trent Sherfiel,WR,20,9,0.45,87,1
318,Keith Smit,FB,10,9,0.90,56,0
319,Lee Smit,TE,11,9,0.82,65,1
320,Equanimeous St. Brow,WR,17,9,0.53,98,0
321,Tommy Sweene,TE,12,9,0.75,44,1
322,Nick Vannet,TE,15,9,0.60,133,1
323,Ty'Son William,RB,12,9,0.75,84,0
324,Derrick Gor,RB,9,8,0.89,105,0
325,Denzel Mim,WR,23,8,0.35,133,0
326,Patrick Ricard,FB,13,8,0.62,63,1
327,Eric Sauber,TE,12,8,0.67,47,1
328,Jeff Smit,WR,17,8,0.47,113,0
329,Juwann Winfre,WR,13,8,0.62,58,0
330,Matt Breid,RB,9,7,0.78,72,2
331,DJ Char,WR,22,7,0.32,154,2
332,Phillip Dorset,WR,14,7,0.50,110,0
333,Luke Farrel,TE,11,7,0.64,56,0
334,Noah Gra,TE,10,7,0.70,36,1
335,Penny Har,WR,12,7,0.58,59,0
336,Godwin Igwebuik,DB,10,7,0.70,60,0
337,Jesse Jame,TE,8,7,0.88,62,1
338,Craig Reynold,RB,8,7,0.88,52,0
340,Greg War,WR,11,7,0.64,95,3
341,Jeff Wilso,RB,8,7,0.88,31,0
342,Eno Benjami,RB,7,6,0.86,42,0
343,Chris Carso,RB,6,6,1.00,29,0
344,Corey Clemen,RB,7,6,0.86,29,1
345,Jaelon Darde,WR,12,6,0.50,43,0
346,Tom Kenned,WR,10,6,0.60,54,0
347,Chris Manhert,TE,9,6,0.67,71,1
348,Tre' McKitt,TE,8,6,0.75,45,0
349,Anthony Mille,WR,12,6,0.50,25,1
350,Rashaad Penn,RB,8,6,0.75,48,0
351,Curtis Samue,WR,9,6,0.67,27,0
352,Shi Smit,WR,11,6,0.55,104,0
353,Kenny Still,WR,23,6,0.26,68,1
354,Preston William,WR,16,6,0.38,71,0
355,Antony Auclai,TE,5,5,1.00,47,1
356,Le'Veon Bel,RB,7,5,0.71,30,1
357,Dez Fitzpatric,WR,8,5,0.63,49,1
358,Jody Fortso,WR,5,5,1.00,47,2
359,Josh Gordo,WR,14,5,0.36,32,1
360,KJ Hamle,WR,10,5,0.50,74,0
361,Parker Hess,DE,6,5,0.83,43,0
362,Tony Jone,RB,8,5,0.63,29,0
363,Joshua Kelle,RB,6,5,0.83,38,0
364,Scott Mille,WR,9,5,0.56,38,0
365,Colby Parkinso,TE,8,5,0.63,33,0
366,Rodney Smit,RB,5,5,1.00,48,0
367,Ihmir Smith-Marsett,WR,6,5,0.83,116,2
368,Mike Thoma,WR,11,5,0.46,52,0
369,Cody Whit,WR,6,5,0.83,33,0
371,Charlie Woerne,TE,6,5,0.83,52,0
372,Christian Blak,WR,9,4,0.44,25,0
373,Kendall Blanto,TE,7,4,0.57,37,0
374,C.J. Boar,WR,6,4,0.67,51,0
375,Ja'Marcus Bradle,WR,4,4,1.00,64,0
376,Jason Cabind,LB,7,4,0.57,16,1
377,Pharoh Coope,WR,11,4,0.36,33,0
378,Tyler Davi,TE,5,4,0.80,35,0
379,Ross Dwelle,TE,5,4,0.80,51,1
380,Darren Fell,TE,5,4,0.80,43,0
381,Will Fulle,WR,8,4,0.50,26,0
382,Garrett Griffi,TE,4,4,1.00,39,0
383,Chris Herndo,FB,7,4,0.57,40,1
384,Taysom Hil,QB,6,4,0.67,52,0
385,Chris Hoga,WR,8,4,0.50,41,1
386,Cody Holliste,WR,7,4,0.57,33,0
387,Jermar Jefferso,RB,5,4,0.80,23,0
388,Duke Johnso,RB,5,4,0.80,41,0
389,Jakob Johnso,FB,5,4,0.80,43,0
390,Phillip Lindsa,RB,5,4,0.80,45,1
391,Sean McKeo,TE,6,4,0.67,27,1
392,Kene Nwangw,RB,5,4,0.80,9,0
393,Qadree Olliso,RB,6,4,0.67,12,0
394,Adrian Peterso,RB,4,4,1.00,8,0
395,Amari Rodger,WR,8,4,0.50,45,0
396,Wendell Smallwoo,RB,5,4,0.80,22,0
397,Willie Snea,WR,8,4,0.50,38,0
398,Jack Stol,TE,5,4,0.80,22,0
399,J.J. Taylo,RB,4,4,1.00,8,0
400,Ke'Shawn Vaugh,RB,8,4,0.50,26,0
402,Kristian Wilkerso,WR,8,4,0.50,42,2
403,Jonathan William,RB,6,4,0.67,28,0
404,Cam Aker,RB,3,3,1.00,10,0
405,Ryquell Armstea,RB,4,3,0.75,16,0
406,Malcolm Brow,RB,5,3,0.60,10,0
407,Michael Burto,RB,3,3,1.00,31,0
408,Greg Dortc,WR,3,3,1.00,15,0
409,Alex Erickso,WR,4,3,0.75,55,0
410,Reggie Gillia,FB,5,3,0.60,23,0
411,Demetrius Harri,TE,6,3,0.50,10,0
412,K.J. Hil,CB,3,3,1.00,30,0
413,Tommy Hudso,TE,6,3,0.50,31,0
414,Tyree Jackso,QB,7,3,0.43,22,1
415,Andy Janovic,RB,4,3,0.75,9,0
416,Keith Kirkwoo,WR,7,3,0.43,17,0
417,Patrick Lair,RB,3,3,1.00,17,0
418,D.J. Montgomer,WR,6,3,0.50,36,0
419,Jason Moor,WR,4,3,0.75,56,0
420,Chris Myaric,TE,6,3,0.50,17,1
421,Gabe Naber,FB,3,3,1.00,17,0
422,Adam Prentic,FB,3,3,1.00,16,0
423,Jaylen Samuel,TE,4,3,0.75,14,0
424,Trey Sermo,RB,4,3,0.75,26,0
425,Kaden Smit,TE,3,3,1.00,33,0
426,Jeremy Sprinkl,TE,3,3,1.00,31,0
427,Auden Tat,WR,4,3,0.75,39,1
428,Jonathan War,RB,4,3,0.75,34,0
429,Derek Wat,RB,3,3,1.00,15,0
430,Trevon Wesc,TE,5,3,0.60,35,0
431,Mitchell Wilco,TE,5,3,0.60,16,0
433,Shane Zylstr,TE,7,3,0.43,34,0
434,JJ Arcega-Whitesid,WR,5,2,0.40,36,0
435,Kalen Ballag,RB,7,2,0.29,8,0
436,Cameron Batso,WR,5,2,0.40,15,1
437,Khari Blasingam,RB,2,2,1.00,4,0
438,Reggie Bonnafo,RB,2,2,1.00,12,0
439,Mike Boon,RB,2,2,1.00,22,0
440,Daniel Brow,WR,2,2,1.00,29,0
441,Derek Carrie,TE,2,2,1.00,13,0
442,Cethan Carte,TE,2,2,1.00,16,0
443,Dominique Dafne,TE,4,2,0.50,34,0
444,Taylor Decke,LT,2,2,1.00,4,1
445,Darrynton Evan,RB,2,2,1.00,11,0
446,Jesper Horste,WR,3,2,0.67,21,2
447,Jordan Howar,RB,5,2,0.40,19,0
448,Trenton Irwi,WR,5,2,0.40,34,0
449,Tyron Johnso,WR,5,2,0.40,16,0
450,Marcus Kem,WR,5,2,0.40,24,0
451,Jake Kumero,WR,6,2,0.33,28,0
452,Marlon Mac,RB,5,2,0.40,8,0
453,Racey McMat,WR,6,2,0.33,8,0
454,Jaydon Micken,WR,3,2,0.67,10,0
455,Stanley Morgan Jr,WR,4,2,0.50,11,0
456,Dazz Newsom,WR,5,2,0.40,23,0
457,Gunner Olszewsk,WR,3,2,0.67,31,0
458,Dezmon Patmo,WR,4,2,0.50,21,1
459,Scottie Phillip,RB,3,2,0.67,9,0
460,Kevin Rade,TE,3,2,0.67,8,0
461,Trey Raga,RB,2,2,1.00,6,0
462,Richard Rodger,TE,2,2,1.00,11,0
464,C.J. Saunder,WR,2,2,1.00,11,0
465,David Sill,WR,6,2,0.33,17,0
466,Benny Snell Jr,RB,4,2,0.50,13,0
467,Johnny Stanto,RB,2,2,1.00,7,1
468,Luke Stocke,TE,2,2,1.00,12,0
469,Mike Stracha,WR,3,2,0.67,26,0
470,Malik Taylo,WR,3,2,0.67,14,0
471,Patrick Taylo,RB,2,2,1.00,3,0
472,Trent Taylo,WR,3,2,0.67,41,0
473,Tylan Wallac,WR,6,2,0.33,23,0
474,Austin Walte,RB,3,2,0.67,9,0
475,Dwayne Washingto,RB,2,2,1.00,12,0
476,Tyrell William,WR,3,2,0.67,14,0
477,Ethan Wol,TE,2,2,1.00,8,0
478,Kenny Yeboa,TE,3,2,0.67,36,0
479,Alex Arma,FB,1,1,1.00,1,1
480,Nick Bawde,RB,1,1,1.00,20,0
481,Nick Bellor,LB,1,1,1.00,4,0
482,Tarik Blac,WR,2,1,0.50,10,0
483,Miles Boyki,WR,1,1,1.00,6,0
484,Nick Boyl,TE,2,1,0.50,2,0
485,Garrett Bradbur,C,1,1,1.00,21,0
486,Gary Brightwel,RB,1,1,1.00,6,0
487,Keke Coute,WR,1,1,1.00,5,0
488,Darrell Daniel,TE,4,1,0.25,0,0
489,Frank Darb,WR,4,1,0.25,14,0
490,Davion Davi,WR,3,1,0.33,17,0
491,Wayne Gallma,RB,3,1,0.33,21,0
492,Marvin Hal,WR,1,1,1.00,10,0
493,Taylor Heinick,QB,1,1,1.00,-2,0
495,Daniel Hel,TE,2,1,0.50,-1,0
496,Kylin Hil,RB,2,1,0.50,5,0
497,Amani Hooke,FS,1,1,1.00,6,0
498,Brycen Hopkin,TE,1,1,1.00,9,0
499,Andy Isabell,WR,1,1,1.00,13,0
500,Lane Johnso,RT,1,1,1.00,5,1
501,Daniel Jone,QB,1,1,1.00,16,0
502,Tommylee Lewi,WR,2,1,0.50,7,0
503,Drew Loc,QB,1,1,1.00,1,0
504,Hunter Lon,TE,3,1,0.33,8,0
505,Conor McDermot,T,1,1,1.00,1,1
506,Anthony McFarland Jr,RB,1,1,1.00,11,0
507,Kirk Merrit,WR,3,1,0.33,13,0
508,Johnny Mund,TE,1,1,1.00,9,0
509,Ryan Nal,RB,1,1,1.00,4,0
510,Devine Ozigb,RB ,1,1,1.00,7,0
511,Danny Pinte,G,1,1,1.00,2,1
512,Bobby Pric,DB,1,1,1.00,17,0
513,Mike Remmer,T,1,1,1.00,-2,0
514,Andre Robert,WR,2,1,0.50,35,0
515,Aaron Rodgers,QB,1,1,1.00,-4,0
516,Larry Rountre,RB,2,1,0.50,-1,0
517,Diontae Spence,WR,4,1,0.25,-3,0
518,Terence Steel,RT/LT,1,1,1.00,1,1
519,Andrew Thoma,LT,1,1,1.00,2,1
520,Eric Tomlinso,TE,1,1,1.00,7,0
521,Kevin Whit,WR,5,1,0.20,38,0
522,Christian Wilkin,RDE,1,1,1.00,1,1
523,Seth William,WR,1,1,1.00,34,0
524,Trayveon William,RB,2,1,0.50,4,0
526,Easop Winsto,WR,1,1,1.00,5,0
527,Deon Yelde,TE,1,1,1.00,0,0
528,Rodney Adam,WR,1,0,0.00,0,0
529,Geronimo Alliso,WR,2,0,0.00,0,0
530,Travis Benjami,WR,5,0,0.00,0,0
531,Darius Bradwel,FB,1,0,0.00,0,0
532,John Brow,WR,3,0,0.00,0,0
533,Tevaughn Campbel,RCB,1,0,0.00,0,0
534,Tyrie Clevelan,WR,1,0,0.00,0,0
535,Isaiah Coulte,WR,1,0,0.00,0,0
536,Keion Crosse,DB,1,0,0.00,0,0
537,Dion Dawkins,LT,1,0,0.00,0,0
538,Ben Ellefso,TE,1,0,0.00,0,0
539,Jason Huntle,RB,1,0,0.00,0,0
540,Jalen Hurt,QB,1,0,0.00,0,0
541,Codey McElro,TE,1,0,0.00,0,0
542,David Moor,WR,2,0,0.00,0,0
543,Matt Nelso,RT,1,0,0.00,0,0
544,Giovanni Ricc,FB,2,0,0.00,0,0
545,Mekhi Sargen,RB,1,0,0.00,0,0
546,Devin Smit,WR,1,0,0.00,0,0
547,Vyncint Smit,WR,1,0,0.00,0,0
548,Stephen Sulliva,TE,1,0,0.00,0,0
549,Colin Thompso,TE,1,0,0.00,0,0
550,Trent Williams,LT,1,0,0.00,0,0
551,Zach Wilso,QB,1,0,0.00,0,0
